"D_DF1_sample-1" "D_DF1_sample-2" "D_DF1_sample-3" "D_DF1-I_sample-1" "D_DF1-I_sample-2" "D_DF1-I_sample-3" "D_DF1-P_sample-1" "D_DF1-P_sample-2" "D_DF1-P_sample-3" "D_DF1-P-I_sample-1" "D_DF1-P-I_sample-2" "D_DF1-P-I_sample-3" "D_DF1-PC_sample-1" "D_DF1-PC_sample-2" "D_DF1-PC_sample-3" "D_DF1-PC-I_sample-1" "D_DF1-PC-I_sample-2" "D_DF1-PC-I_sample-3"
"HEYL" 4 2 5 16 9 9 2 2 4 1 6 1 7 12 16 13 9 31
"HFM1" 0 0 3 1 0 3 0 0 0 0 0 0 1 1 0 0 1 2
"HGD" 2 3 3 10 15 3 2 3 2 4 3 6 4 3 0 5 1 1
"HGF" 0 0 1 3 5 1 0 0 0 0 0 1 2 1 1 1 1 1
"HGH1" 5 1 8 5 5 6 3 2 0 1 4 7 3 9 7 4 1 7
"HGS" 73 96 96 67 108 93 69 60 122 69 83 100 85 121 118 178 145 170
"HGSNAT" 21 33 21 11 10 14 17 15 21 17 18 28 12 14 30 13 19 22
"HHAT" 0 0 2 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0
"HHATL" 2 2 1 3 5 1 3 2 0 3 1 2 2 0 0 1 1 0
"HHEX" 5 5 6 3 9 3 6 0 4 2 4 2 1 0 2 3 3 6
"HHIP" 28 75 48 16 18 18 27 54 28 28 29 41 40 21 48 14 15 18
"HHIPL1" 2 0 2 0 1 1 1 0 2 0 0 1 3 3 4 3 3 1
"HHIPL2" 0 0 3 5 4 1 0 0 0 0 0 0 0 0 0 1 0 0
"HHLA1" 0 0 1 0 3 0 0 0 0 0 0 1 2 4 2 8 2 0
"HHLA2" 691 1617 936 2656 2820 2759 281 266 177 239 225 248 2439 2308 2840 2035 1732 2610
"HIBADH" 0 0 0 0 1 0 2 1 1 0 1 0 2 2 2 0 2 0
"HIBCH" 80 92 86 94 102 111 46 65 37 34 42 44 12 8 19 21 30 17
"HIC1" 6 7 10 16 14 11 2 4 6 3 13 6 0 2 3 3 1 4
"HIC2" 418 653 396 267 284 296 116 128 111 91 96 124 263 277 320 219 220 243
"HID1" 0 0 0 0 0 0 1 0 0 0 0 0 1 2 2 2 3 0
"HIF1A" 144 324 177 27 28 33 99 174 116 93 126 128 306 274 328 144 174 131
"HIF1AN" 1 1 1 2 6 5 0 0 1 1 1 0 1 0 0 0 2 1
"HIGD1C" 1 6 0 4 3 0 1 0 0 2 0 1 1 0 3 1 3 1
"HIGD2A" 3 1 6 9 5 7 2 0 5 0 0 1 4 2 2 1 2 2
"HIKESHI" 0 5 0 1 4 5 3 2 2 4 3 1 2 4 3 1 1 0
"HINFP" 0 0 1 3 3 1 0 0 1 0 0 1 0 2 0 1 0 0
"HINT1" 3 3 2 4 6 6 3 1 4 1 3 3 0 1 5 8 2 8
"HINT2" 4 4 1 3 0 0 2 4 0 0 4 0 1 2 3 2 2 1
"HINT3" 6 6 4 7 3 6 5 12 5 8 3 5 7 2 8 1 3 1
"HINTW" 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 1
"HIP1" 12 23 16 22 16 24 16 20 13 15 10 14 16 5 20 18 15 16
"HIP1R" 8 17 24 43 55 68 13 5 12 19 13 14 16 10 13 19 15 18
"HIPK1" 5 5 8 5 2 7 1 1 1 2 4 0 8 3 4 4 4 8
"HIPK2" 6 10 14 88 116 132 7 5 11 7 15 15 10 9 16 12 12 13
"HIPK3" 9 12 32 44 38 38 7 0 7 5 5 5 3 8 9 9 4 9
"HIRA" 4 2 9 3 3 5 1 2 3 3 3 3 6 10 7 4 4 7
"HIST1H101" 107 112 134 69 60 82 115 56 120 96 111 155 132 177 105 51 80 76
"HIST1H103" 26 28 23 17 27 13 29 33 14 21 26 17 13 26 16 9 18 22
"HIST1H110" 157 173 182 136 127 124 124 36 102 108 135 125 122 154 98 69 89 86
"HIST1H111L" 22 27 40 36 34 52 26 16 25 21 29 28 21 27 27 26 30 24
"HIST1H111R" 15 21 32 48 36 34 20 16 25 12 20 28 20 31 17 18 11 11
"HIST1H2A3" 13 17 15 14 17 14 1 8 6 4 7 2 9 6 11 8 5 9
"HIST1H2A4" 39 30 35 66 82 85 4 16 19 21 21 20 6 10 14 25 22 40
"HIST1H2A4L1" 81 74 94 100 96 97 53 52 46 29 45 46 38 29 63 46 43 61
"HIST1H2A4L2" 17 15 11 26 27 25 8 7 4 4 10 11 11 10 10 9 13 7
"HIST1H2A4L3" 29 32 30 85 93 61 70 44 69 32 73 70 42 30 32 29 32 39
"HIST1H2A4L4" 61 51 49 65 85 70 66 40 64 31 44 59 26 23 39 34 45 41
"HIST1H2B5" 5 7 11 12 11 10 3 3 1 5 6 4 5 5 11 3 1 1
"HIST1H2B5L" 0 0 1 1 6 4 2 1 1 1 1 0 1 2 2 0 1 2
"HIST1H2B7" 13 17 26 15 30 29 24 6 12 24 35 20 19 34 18 6 13 5
"HIST1H2B7L4" 0 3 1 8 1 3 0 0 0 0 0 2 0 3 1 1 0 0
"HIST1H2B8" 2 8 6 3 4 3 2 2 0 1 1 5 6 0 7 4 3 1
"HIST1H2BO" 8 5 12 14 8 10 6 5 7 9 6 5 10 5 6 3 6 0
"HIST1H3A" 6 9 7 2 4 4 10 3 16 8 15 14 8 8 6 1 8 9
"HIST1H3H" 11 8 6 24 38 33 9 3 8 8 6 4 5 9 4 4 5 10
"HIST1H46" 1 0 1 5 5 4 0 0 0 0 0 1 0 0 0 1 0 1
"HIST1H46L2" 14 12 21 21 13 23 10 8 23 3 8 16 7 5 11 9 11 16
"HIST1H46L6" 2 4 2 31 29 23 4 1 6 5 4 7 6 5 7 8 12 4
"HIST1H4B" 24 25 13 14 9 4 11 10 17 6 5 4 10 14 21 11 21 6
"HIST1H4D" 23 6 20 30 29 24 21 9 18 6 6 15 10 15 9 7 18 6
"HIST1H4I" 12 15 18 10 6 4 18 25 26 13 20 10 11 6 11 3 7 10
"HIST2H3A" 7 19 14 106 116 114 4 9 9 2 7 3 17 3 10 24 21 13
"HIST2H3D" 21 20 14 39 30 45 34 24 31 43 31 47 43 61 54 23 31 21
"HIST2H4B" 9 7 20 29 23 25 19 17 17 5 13 18 6 5 8 11 14 8
"HISTH2A4L1" 37 33 49 27 33 40 25 23 22 11 15 23 18 14 28 23 30 31
"HIVEP1" 13 16 20 51 61 70 16 8 11 2 15 8 12 22 13 18 18 20
"HIVEP2" 3 13 7 19 20 27 15 4 8 6 13 9 6 9 11 12 14 13
"HIVEP3" 3 1 3 11 7 11 0 1 2 0 0 2 4 0 0 0 2 0
"HJURP" 0 2 1 1 6 2 0 0 2 0 1 0 1 0 1 2 0 2
"HK1" 4 11 5 4 12 11 6 1 7 6 6 2 7 7 7 9 4 12
"HK2" 61 100 61 32 44 30 84 54 84 80 92 116 75 75 78 45 34 35
"HK3" 1 0 2 2 1 2 0 0 1 0 0 1 0 0 1 1 0 1
"HKDC1" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0
"HLCS" 0 1 6 8 2 5 0 0 0 0 0 0 3 0 1 0 5 1
"HLF" 15 19 21 37 47 65 37 35 39 27 43 45 12 16 17 14 23 14
"HLX" 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0
"HM13" 5 4 4 19 7 7 8 3 6 2 7 10 9 9 10 5 9 8
"HMBOX1" 6 3 9 6 6 3 1 3 3 1 2 2 3 6 7 2 2 3
"HMBS" 150 159 138 139 145 123 264 215 263 188 235 244 173 182 216 173 145 151
"HMCES" 3 8 4 65 66 72 2 7 2 3 2 3 2 3 6 2 4 13
"HMCN1" 35 59 35 17 24 31 21 34 18 20 12 27 36 33 30 31 35 30
"HMG20A" 97 122 89 38 31 42 236 114 202 221 232 228 195 207 195 120 102 107
"HMG20B" 6 2 7 3 5 9 5 1 7 7 2 3 8 3 7 2 8 9
"HMGA1" 78 89 92 85 93 92 46 42 42 35 60 46 79 113 115 99 120 138
"HMGA2" 5 3 9 14 23 15 4 8 11 4 7 7 8 4 8 22 20 20
"HMGB1" 18 27 30 28 45 49 30 38 34 22 23 34 10 26 9 21 21 33
"HMGB2" 30 18 20 14 14 24 16 12 13 15 11 16 9 15 15 10 8 21
"HMGB3" 4 3 17 3 6 7 3 4 3 3 1 6 4 4 6 4 5 5
"HMGCL" 1 0 5 2 0 4 3 3 1 1 5 2 1 4 1 5 4 5
"HMGCLL1" 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"HMGCR" 7 6 5 8 6 12 2 4 3 7 8 0 8 1 4 14 10 8
"HMGCS1" 19 35 42 18 11 8 18 7 14 6 22 12 13 32 31 20 27 20
"HMGCS2" 0 0 2 5 2 2 0 0 0 0 1 0 3 1 0 1 0 1
"HMGN1" 8 27 26 22 30 29 12 13 12 9 13 10 9 8 13 16 9 20
"HMGN2P46" 8 9 5 8 6 11 9 8 8 6 13 9 7 2 4 2 7 8
"HMGN4" 4 1 5 1 2 2 5 0 2 4 8 2 4 4 2 4 1 0
"HMGN5" 56 66 63 39 27 28 57 40 46 35 44 44 50 40 56 52 50 62
"HMGXB3" 5 9 11 15 28 20 23 26 39 15 21 28 8 8 5 9 6 9
"HMGXB4" 28 42 30 122 127 160 27 55 21 13 29 28 24 23 28 28 22 63
"HMMR" 23 37 17 24 9 16 18 23 9 13 17 16 6 11 22 11 14 21
"HMOX1" 3 10 5 2 6 1 16 4 11 8 15 13 8 3 4 12 6 6
"HMOX2" 5 9 4 5 1 2 8 4 8 5 6 14 5 3 9 9 8 4
"HMP19" 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 1 1 0
"HMX1" 3 4 5 0 1 3 2 10 6 7 1 11 6 2 5 4 3 10
"HMX2" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"HMX3" 1 4 1 4 6 0 1 2 4 0 0 2 2 1 1 2 3 1
"HN1" 434 569 547 193 250 244 589 511 624 582 618 663 601 705 634 470 459 485
"HN1L" 2 5 9 3 6 4 7 3 4 0 4 0 8 6 4 6 3 9
"HNF1A" 7 15 13 12 9 15 21 29 16 16 21 23 9 11 10 18 11 11
"HNF1B" 0 0 0 5 0 2 0 0 1 0 0 0 0 0 1 1 0 1
"HNF4A" 0 4 9 4 2 3 9 7 6 7 8 12 1 6 11 2 2 4
"HNF4G" 0 0 3 2 0 0 0 0 0 0 0 0 0 2 0 1 1 0
"HNF4beta" 28 47 31 20 18 21 14 25 14 21 23 32 20 24 30 6 15 14
"HNMT" 1 1 3 5 1 3 0 0 0 0 0 3 0 0 0 0 2 1
"HNRNPA1" 1 3 9 6 5 3 5 3 3 5 4 4 5 3 1 3 4 2
"HNRNPA2B1" 4 9 6 6 12 13 39 52 40 30 40 50 7 5 3 4 9 12
"HNRNPA3" 23 25 26 59 56 55 21 48 34 27 26 22 32 17 18 14 18 36
"HNRNPAB" 292 430 343 116 123 135 464 383 500 525 486 503 281 315 324 211 221 220
"HNRNPC" 0 0 0 5 2 4 0 0 1 0 1 0 3 2 1 3 0 0
"HNRNPD" 2 2 2 1 0 0 3 1 1 0 1 0 4 0 2 0 1 1
"HNRNPDL" 13 17 16 8 18 15 9 3 7 11 15 9 7 17 12 25 17 17
"HNRNPH1" 3195 3384 3212 2080 1754 1687 1850 2813 1779 1476 1511 1797 1302 1324 1899 1462 1451 1742
"HNRNPH3" 8 16 1 16 19 21 11 12 6 6 5 7 11 7 6 3 5 14
"HNRNPK" 27 34 18 33 60 57 38 36 29 23 32 45 24 18 22 38 32 49
"HNRNPKL" 2 5 3 2 1 0 1 0 0 1 2 1 6 0 1 1 3 0
"HNRNPLL" 3 10 6 9 8 1 6 2 1 1 5 3 7 4 1 1 4 1
"HNRNPM" 4 21 9 4 8 12 11 13 9 3 10 17 8 13 14 14 13 22
"HNRNPR" 2 6 3 7 10 9 3 3 5 2 1 6 1 1 1 2 5 3
"HNRNPU" 30 43 25 43 48 57 49 40 42 38 53 77 32 52 33 33 48 61
"HNRNPUL1" 4 1 0 4 7 3 4 4 1 2 1 4 6 1 3 0 2 0
"HOGA1" 19 28 26 67 62 47 6 10 14 8 10 7 5 8 14 16 8 23
"HOMER1" 2 2 1 2 5 0 1 0 0 0 0 1 1 0 0 0 0 1
"HOMER2" 0 0 1 2 9 6 3 3 1 3 3 1 3 0 0 0 2 1
"HOMER3" 0 5 3 8 9 11 0 4 1 1 0 0 4 5 5 2 3 7
"HOOK1" 6 5 9 8 7 10 5 2 0 3 1 4 11 5 13 10 13 5
"HOOK3" 2 6 7 6 13 10 8 6 6 5 5 18 10 19 11 12 12 8
"HOPX" 29 47 38 13 9 15 41 40 42 41 37 52 56 37 57 42 49 41
"HORMAD1" 1 1 0 3 0 1 1 0 1 3 2 5 1 3 2 1 0 0
"HORMAD2" 2 6 7 30 33 28 4 0 5 2 1 6 9 3 7 7 4 10
"HOXA1" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0
"HOXA10" 465 606 516 105 135 142 394 240 400 351 371 497 487 414 466 219 245 201
"HOXA10-AS" 149 220 193 86 105 127 239 196 228 219 216 249 155 192 181 178 191 176
"HOXA11" 13 16 18 24 35 20 24 13 14 16 13 12 12 18 13 19 13 19
"HOXA13" 2 4 2 2 1 1 1 4 6 3 2 1 2 2 0 0 1 0
"HOXA2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HOXA3" 5 1 5 10 23 12 3 4 1 4 1 5 0 0 0 0 0 3
"HOXA4" 4 5 1 8 6 11 4 0 0 1 4 2 0 0 0 0 1 1
"HOXA5" 0 1 1 8 2 1 0 1 2 4 0 0 0 0 0 0 0 0
"HOXA6" 1 0 1 0 2 4 1 0 0 0 0 0 0 0 0 0 0 0
"HOXA7" 10 11 7 13 7 12 8 5 11 10 12 7 10 15 12 10 12 7
"HOXA9" 10 11 12 13 6 11 6 9 8 10 7 11 6 8 8 5 8 14
"HOXB1" 0 1 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HOXB13" 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"HOXB2" 241 238 214 138 149 171 97 74 111 67 96 85 79 121 140 91 116 125
"HOXB3" 78 82 78 81 80 73 56 36 34 40 46 39 78 84 91 71 69 68
"HOXB4" 3 4 3 3 3 6 4 1 2 2 2 1 3 1 0 0 1 0
"HOXB5" 1 0 1 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"HOXB6" 1 1 9 1 3 0 2 5 4 1 2 2 2 0 2 0 1 4
"HOXB7" 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"HOXB8" 0 0 1 1 0 3 0 0 0 0 1 0 0 0 0 0 0 0
"HOXC10" 8 28 19 41 70 79 15 8 12 18 14 14 8 7 4 14 14 7
"HOXC11" 47 35 33 37 33 24 21 23 12 20 27 24 1 3 3 0 0 1
"HOXC12" 1 3 3 0 0 1 2 4 3 4 0 4 0 1 0 0 0 0
"HOXC13" 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"HOXC8" 0 0 0 5 1 1 0 0 0 0 0 0 0 0 1 0 0 0
"HOXC9" 0 1 3 1 2 1 2 2 0 1 1 0 0 0 1 0 0 0
"HOXCDX1L" 16 33 27 4 1 8 7 10 17 17 13 18 25 35 31 10 12 14
"HOXD1" 10 2 2 5 4 3 4 6 5 4 1 4 6 5 5 5 7 6
"HOXD10" 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1
"HOXD11" 0 1 3 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0
"HOXD12" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"HOXD13" 0 1 1 3 0 1 0 0 0 0 0 0 3 0 0 0 3 0
"HOXD3" 10 11 8 0 2 4 6 11 8 5 4 3 5 11 15 6 4 10
"HOXD4" 1 0 2 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0
"HOXD8" 0 0 0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0
"HOXD9" 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 3 0
"HP1BP3" 6 9 14 2 8 7 9 8 1 10 6 8 3 14 5 0 2 4
"HPCA" 2 1 0 10 9 4 1 0 0 1 0 1 0 0 1 1 2 0
"HPCAL1" 1 1 8 14 24 13 1 2 2 2 4 4 3 7 17 12 10 5
"HPCAL4" 0 0 2 1 1 0 0 1 0 0 0 0 1 0 1 1 0 2
"HPD" 6 4 9 7 8 9 4 9 1 4 5 6 7 4 6 7 7 8
"HPDL" 4 6 7 14 8 21 3 7 7 3 5 4 2 4 7 3 6 5
"HPF1" 12 5 11 8 11 5 9 4 3 4 6 3 6 5 7 4 11 6
"HPGD" 0 1 0 0 0 0 0 0 0 0 0 0 1 1 2 0 0 1
"HPGDS" 0 5 2 3 6 2 1 1 0 0 0 0 3 2 1 2 3 1
"HPRT1" 144 250 176 150 162 169 222 303 268 177 194 223 76 86 160 98 74 119
"HPS1" 1 2 4 2 1 0 1 1 1 1 0 3 3 2 0 1 1 2
"HPS3" 116 190 155 50 41 59 128 236 152 108 119 136 171 136 225 115 114 132
"HPS4" 0 0 3 2 1 3 2 6 5 4 8 6 0 0 0 2 1 1
"HPS5" 2 11 8 9 1 2 2 6 6 3 0 7 10 3 5 6 3 12
"HPS6" 23 19 10 25 48 39 19 12 36 15 26 46 5 8 9 4 19 30
"HPSE" 3 2 0 5 1 2 1 0 2 0 1 3 0 0 0 3 0 2
"HPSE2" 15 16 12 8 17 21 21 10 21 13 23 38 1 7 5 3 2 14
"HPX" 0 0 0 2 2 2 0 0 0 1 0 0 0 0 0 0 0 0
"HRAS" 55 66 52 19 35 39 50 52 55 39 54 50 69 65 83 37 37 47
"HRASLS" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"HRC8L" 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0
"HRG" 3 1 3 3 4 7 3 3 1 1 4 2 0 1 1 3 1 2
"HRH1" 0 0 0 1 1 0 0 0 0 2 0 1 1 0 3 3 1 4
"HRH2" 0 1 0 2 1 0 2 0 0 0 0 0 0 1 1 1 0 0
"HRH3" 0 1 12 6 9 3 3 5 6 5 3 3 3 2 3 1 1 1
"HRH4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HS1BP3" 3 1 1 4 2 3 2 1 2 2 7 1 3 2 1 0 4 3
"HS2ST1" 4 1 0 0 4 3 0 0 0 0 0 1 1 2 1 4 1 1
"HS3ST1" 0 0 3 0 0 0 0 1 2 2 1 1 1 1 2 2 0 0
"HS3ST2" 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0
"HS3ST3A1" 1 6 3 1 2 0 9 8 18 13 12 14 13 22 31 8 4 12
"HS3ST3B1L" 0 2 4 0 0 4 2 0 3 0 0 0 1 1 2 2 1 1
"HS3ST4" 0 0 3 1 1 2 0 1 0 0 0 0 2 0 0 0 0 0
"HS3ST5" 0 2 0 1 1 0 0 4 0 0 0 1 1 0 1 1 0 0
"HS3ST6" 0 0 4 0 1 0 0 0 0 0 1 1 0 1 2 0 0 3
"HS6ST1" 2 0 2 0 0 1 2 0 1 1 0 0 2 1 1 2 2 2
"HS6ST2" 3 0 1 6 5 1 0 1 2 2 6 0 2 2 2 3 0 6
"HS6ST3" 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0
"HSBP1" 9 3 4 8 0 1 0 1 2 1 0 1 3 4 8 2 4 4
"HSBP1L1" 2 1 1 5 3 4 1 3 1 0 3 0 2 3 2 1 1 2
"HSCB" 12 11 6 8 16 23 17 16 6 22 14 24 11 11 13 13 15 19
"HSD11B1A" 1 0 4 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0
"HSD11B1B" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"HSD11B1L" 587 676 634 259 312 334 421 259 407 381 452 538 738 803 865 708 743 812
"HSD11B2" 86 155 129 68 93 95 117 65 110 92 90 102 94 121 116 109 106 110
"HSD17B1" 62 79 72 25 28 37 34 18 45 47 32 34 59 50 62 40 28 29
"HSD17B10" 16 19 19 125 103 115 5 3 7 5 3 7 15 14 17 18 13 25
"HSD17B11" 4 12 6 3 4 1 4 11 9 13 8 3 10 4 7 2 2 2
"HSD17B12" 0 1 8 2 4 1 4 4 0 2 4 1 3 2 4 3 0 1
"HSD17B13" 14 17 17 18 17 25 12 13 15 7 15 20 12 8 15 8 7 7
"HSD17B2" 0 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0
"HSD17B3" 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
"HSD17B4" 1 2 1 0 1 1 0 0 2 0 3 3 3 3 3 1 2 3
"HSD17B7" 4 2 1 2 1 1 1 0 0 0 1 2 0 0 0 1 5 1
"HSD3B1" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 6 0
"HSD3B7" 3 2 3 6 6 3 11 10 12 12 9 13 6 5 9 4 5 2
"HSDL1" 6 10 4 7 11 4 4 7 14 6 10 9 7 2 12 11 5 9
"HSDL2" 2 7 8 1 2 1 2 4 4 2 1 3 0 5 4 1 2 3
"HSF2" 6 16 14 18 18 21 9 14 6 8 7 12 19 7 24 14 10 14
"HSF2BP" 9 12 16 12 12 9 13 11 10 7 6 12 11 11 11 7 11 15
"HSF3" 2 1 3 3 7 2 7 4 3 2 4 2 1 1 0 3 0 0
"HSF4" 16 13 12 14 10 15 5 10 11 8 4 10 26 15 35 23 18 17
"HSF5" 4 0 0 0 1 2 0 0 0 0 1 0 2 0 0 1 0 1
"HSP90AA1" 5 24 10 23 31 24 6 8 1 4 3 7 23 27 9 17 16 29
"HSP90AB1" 16 28 12 15 13 12 28 21 24 16 19 31 11 15 18 6 13 9
"HSP90B1" 1 21 6 12 14 10 8 20 9 7 6 12 13 16 25 12 13 39
"HSPA12A" 5 8 6 212 240 251 3 3 2 2 5 2 0 9 5 12 6 0
"HSPA13" 2 4 1 0 2 0 0 0 0 2 0 1 1 1 1 2 0 0
"HSPA14" 0 1 0 2 3 1 0 0 1 0 0 0 3 2 2 0 0 0
"HSPA2" 0 0 3 5 3 2 1 1 0 0 0 0 3 4 1 0 1 3
"HSPA4" 6 10 9 17 7 16 9 6 9 5 3 8 11 9 13 11 9 18
"HSPA4L" 7 9 9 17 28 27 7 9 7 0 10 6 8 14 13 13 16 15
"HSPA5" 27 49 47 54 61 61 40 41 49 45 59 56 45 45 37 63 56 51
"HSPA8" 11 16 10 2 6 4 8 8 8 7 21 4 15 17 9 7 11 15
"HSPA9" 17 25 18 10 14 21 23 20 45 32 48 26 18 13 34 20 23 28
"HSPB1" 3 3 2 9 7 10 1 1 0 2 0 2 3 3 2 2 3 2
"HSPB11" 0 0 0 0 2 0 0 2 0 1 0 1 0 0 0 0 0 1
"HSPB2" 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"HSPB3" 8 9 2 1 4 10 6 6 7 6 7 10 8 13 21 6 2 0
"HSPB7" 9 16 8 27 26 14 13 33 22 28 23 24 13 14 15 8 12 26
"HSPB7L" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HSPB8" 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"HSPB9" 1 1 0 25 29 37 1 1 0 1 4 3 5 0 3 18 23 16
"HSPBAP1" 3 5 10 9 2 5 7 1 10 5 3 9 5 10 8 5 5 14
"HSPD1" 37 71 47 22 21 44 43 52 57 45 53 78 30 53 73 43 50 39
"HSPE1" 32 20 20 7 16 18 7 9 6 3 10 8 4 2 15 18 19 9
"HSPG2" 33 52 52 50 44 56 46 38 46 35 59 60 26 31 31 37 35 66
"HSPH1" 2 2 3 4 3 0 0 2 0 0 0 0 3 1 2 1 2 4
"HTATIP2" 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0
"HTATSF1" 3 4 1 9 9 10 8 5 6 1 11 1 6 5 4 4 5 7
"HTD2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HTR1A" 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HTR1B" 1 1 2 3 1 1 0 0 2 0 1 0 0 2 1 2 2 0
"HTR1D" 10 16 19 7 4 6 23 13 25 22 21 31 13 11 10 7 6 7
"HTR1E" 2 1 1 2 2 2 0 0 1 1 0 1 0 0 0 0 0 0
"HTR1F" 6 8 1 10 10 2 15 13 10 8 10 11 12 10 11 19 9 10
"HTR2A" 1 0 5 1 2 0 0 0 2 0 2 0 0 0 0 0 0 0
"HTR2B" 116 216 122 98 113 91 120 166 118 98 118 119 139 144 201 136 108 142
"HTR2C" 0 0 1 0 1 0 0 3 0 0 0 0 1 0 1 0 2 0
"HTR3A" 20 23 16 10 15 12 454 314 448 368 361 474 36 38 39 32 37 32
"HTR4" 1 13 3 10 8 4 15 12 10 9 9 12 3 2 3 3 8 1
"HTR5A" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HTR6" 29 52 34 12 10 18 64 63 59 50 71 74 55 43 76 18 22 31
"HTR7" 0 2 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 1
"HTR7L" 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"HTRA1" 31 26 17 5 1 6 11 4 13 2 17 5 2 9 5 1 7 5
"HTRA2" 9 11 10 7 8 5 15 9 20 7 10 16 4 8 7 5 12 19
"HTRA3" 0 0 2 2 0 3 0 0 0 0 0 0 0 0 0 1 0 0
"HTT" 1 3 6 5 3 7 2 2 3 0 2 4 2 5 1 3 6 8
"HUNK" 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 1
"HUS1" 4 6 3 4 2 4 1 7 1 0 0 4 7 2 5 8 6 7
"HVCN1" 422 599 461 189 212 220 380 302 371 317 345 398 530 515 608 365 349 367
"HYAL1" 0 1 2 6 1 2 0 1 1 1 0 1 3 2 2 0 1 0
"HYAL2" 0 2 3 0 2 2 0 1 3 0 2 3 1 0 0 2 2 2
"HYAL3" 1 2 5 148 130 131 0 1 1 0 2 1 0 0 0 4 7 3
"HYAL6" 1 1 2 0 1 0 0 1 0 0 0 0 5 3 2 0 2 4
"HYDIN" 0 2 7 20 17 3 1 0 1 2 4 1 0 2 5 1 3 3
"HYI" 2 12 4 5 7 7 4 7 8 8 10 6 5 10 8 6 4 9
"HYKK" 16 30 31 13 18 24 10 13 11 20 16 10 18 33 33 24 26 31
"HYLS1" 220 317 313 269 308 355 404 256 455 402 463 540 473 627 538 715 678 674
"HYOU1" 5 7 4 5 2 5 14 4 9 10 12 20 33 18 11 12 10 8
"HYPK" 5 4 3 10 13 11 1 1 3 2 0 0 5 6 4 4 1 4
"IAH1" 10 14 13 9 9 8 15 13 13 11 11 20 11 1 6 7 8 9
"IAPP" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IARS" 4 8 9 12 13 16 8 7 9 3 7 3 7 10 5 11 4 5
"IARS2" 39 50 36 20 25 23 24 25 31 26 25 22 29 25 46 13 21 28
"IBA57" 1 2 3 13 20 13 1 2 1 0 2 2 1 0 0 4 1 1
"IBSP" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"IBTK" 1 3 1 1 4 2 1 0 1 1 1 4 3 4 5 1 3 0
"ICA1" 0 0 0 8 6 5 1 0 1 0 1 0 0 0 0 0 0 1
"ICE1" 0 3 3 4 7 3 1 0 0 0 0 0 3 1 4 2 2 2
"ICE2" 3 4 5 2 3 5 5 5 3 0 4 1 1 1 3 5 3 3
"ICK" 2 3 6 8 6 8 3 2 2 2 3 0 1 4 5 4 2 10
